time,num_replies,num_likes,num_retweets,tweet_text
2020-02-04T04:20:29.000Z,696,41.4K,10.4K,Ronna McDaniel
2020-02-04T04:32:57.000Z,545,24.3K,4.5K,Piers Morgan
2020-02-04T05:12:19.000Z,1K,27.3K,7K,Ronna McDaniel
2020-02-04T12:02:34.000Z,783,25.9K,6.6K,Piers Morgan
2020-02-04T13:15:47.000Z,4.3K,107.3K,22.7K,Eric Trump
2020-02-04T14:34:16.000Z,10.3K,135.2K,26.8K,"The Democrat Party in Iowa really messed up, but the Republican Party did not. I had the largest re-election vote in the history of that great state, by far, beating President Obama’s previous record by a lot. Also, 97% Plus of the vote! Thank you Iowa!"
2020-02-04T14:22:48.000Z,12.9K,139.5K,28.5K,"When will the Democrats start blaming RUSSIA, RUSSIA, RUSSIA, instead of their own incompetence for the voting disaster that just happened in the Great State of Iowa?"
2020-02-04T13:27:15.000Z,9.4K,74.7K,16.8K,"It is not the fault of Iowa, it is the Do Nothing Democrats fault. As long as I am President, Iowa will stay where it is. Important tradition!"
2020-02-03T13:42:41.000Z,831,15.3K,3.4K,Josh Hawley
2020-02-04T05:09:50.000Z,822,24.9K,7.7K,Dan Scavino
2020-02-04T11:33:23.000Z,20K,167.2K,37.3K,"The Democrat Caucus is an unmitigated disaster. Nothing works, just like they ran the Country. Remember the  5 Billion Dollar Obamacare Website, that should have cost 2% of that. The only person that can claim a very big victory in Iowa last night is “Trump”."
2020-02-04T04:27:51.000Z,13.5K,212.6K,31.8K,Big WIN for us in Iowa tonight. Thank you!
2020-02-04T00:50:59.000Z,2K,43.5K,17.4K,Sara A. Carter
2020-01-31T22:59:53.000Z,1.7K,19.5K,5.1K,Senator John Boozman
2020-02-02T16:16:05.000Z,1.5K,26.6K,7.5K,Martha McSally
2020-02-02T20:07:00.000Z,479,14.6K,3.6K,Martha McSally
2020-02-03T14:43:00.000Z,438,15.1K,4K,Martha McSally
2020-01-31T19:44:21.000Z,6.7K,26.4K,10.1K,Sen. Marsha Blackburn
2020-02-04T05:09:50.000Z,822,24.9K,7.7K,Dan Scavino
2020-01-31T19:44:21.000Z,6.7K,26.4K,10.1K,Sen. Marsha Blackburn
2020-01-31T21:55:10.000Z,3.1K,42.9K,12.7K,Sen. Marsha Blackburn
2020-02-03T23:30:03.000Z,1.4K,28.3K,14.1K,GOP
2020-02-04T02:45:26.000Z,1K,17.3K,4.6K,GOP
2020-02-01T00:33:27.000Z,1K,15K,3.7K,Senator Ron Johnson
2020-02-01T00:33:28.000Z,1K,15.5K,4.2K,Senator Ron Johnson
2020-02-01T00:33:28.000Z,1K,13.4K,3.4K,Senator Ron Johnson
2020-02-03T14:55:14.000Z,1K,18.8K,4.7K,Sen. John Barrasso
2020-02-03T16:18:02.000Z,2.1K,23.2K,5.9K,Senator Ted Cruz
2020-02-03T17:15:29.000Z,627,12.1K,3.1K,Shelley Moore Capito
2020-02-03T16:06:55.000Z,2.3K,18.9K,6.2K,Senate Republicans
2020-02-04T03:20:08.000Z,7.6K,117K,25.5K,Many people do not know what a great guy & fantastic political talent the great Rush Limbaugh is. There is nobody like him. Looking for a speedy recovery for our friend!
2020-02-04T02:45:26.000Z,1K,17.3K,4.6K,GOP
2020-02-04T03:20:08.000Z,7.6K,117K,25.5K,Many people do not know what a great guy & fantastic political talent the great Rush Limbaugh is. There is nobody like him. Looking for a speedy recovery for our friend!
2020-02-03T20:18:57.000Z,7.8K,77.9K,20.6K,0:305.8M views
2020-02-03T17:03:03.000Z,37.3K,155.9K,35.8K,Where’s the Whistleblower? Where’s the second Whistleblower? Where’s the Informer? Why did Corrupt politician Schiff MAKE UP my conversation with the Ukrainian President??? Why didn’t the House do its job? And sooo much more!
2020-02-03T16:52:48.000Z,10.6K,139.6K,25K,KEEP AMERICA GREAT!
2020-02-03T05:25:22.000Z,11K,121.5K,27K,Hope you liked this!
2020-02-02T22:03:38.000Z,3.1K,40K,11.4K,Ronna McDaniel
2020-02-02T22:08:53.000Z,2.1K,39.4K,10.7K,Team Trump (#TrumpRallyNH)
2020-02-03T05:08:56.000Z,4.7K,96.5K,17K,Great company!
2020-02-03T00:12:29.000Z,5.7K,80.5K,20.6K,Donald Trump Jr.
2020-02-03T05:05:00.000Z,3.2K,73.3K,13.6K,Thank you Mike!
2020-02-03T03:23:05.000Z,3.6K,83.7K,22.2K,Team Trump (#TrumpRallyNH)
2020-02-03T03:27:02.000Z,43.9K,314.3K,43K,Donald J. Trump
2020-02-03T04:56:29.000Z,2.1K,50K,13.9K,Brad Parscale - Text TRUMP to 88022
2020-02-03T00:09:00.000Z,1.1K,31K,7.6K,David French
2020-02-03T00:09:00.000Z,1.1K,31K,7.6K,David French
2020-02-03T00:07:41.000Z,7.3K,184.2K,51.1K,Alice Marie Johnson
2020-02-02T05:10:56.000Z,13.1K,114.4K,25.1K,"Mini Mike is part of the Fake News. They are all working together. In fact, Bloomberg isn’t covering himself (too boring to do), or other Dems. Only Trump. That sounds fair! It’s all the Fake News Media, and that’s why nobody believes in them any more."
2020-02-02T05:04:56.000Z,12.5K,111.8K,26.4K,"The Radical Left, Do Nothing Democrats, don’t want justice when pushing the Impeachment Hoax, they only want to destabilize the Republican Party so they can do better in the 2020 election, & that includes the House & Senate. They are playing with the people by taking it this far!"
2020-02-02T00:08:49.000Z,2.3K,66.6K,21.8K,Dan Scavino
2020-02-02T04:37:27.000Z,1.1K,25.7K,5.9K,Ted Cruz
2020-01-31T20:35:40.000Z,4.7K,67K,17.5K,Elise Stefanik
2020-01-31T20:55:20.000Z,625,15.4K,4.4K,Secretary Alex Azar
2020-02-02T04:42:09.000Z,1.4K,47.9K,10.1K,Thanks for your invaluable help Chuck!
2020-01-29T17:28:00.000Z,562,16.9K,3.9K,Senator Pat Roberts
2020-02-01T20:20:15.000Z,1.8K,20.5K,5.4K,Senator John Cornyn
2020-02-01T20:52:01.000Z,4.6K,69.7K,17.4K,Melania Trump
2020-02-01T15:56:51.000Z,4.2K,60.9K,18.8K,"U.S. Senator Bill Cassidy, M.D."
2020-02-01T19:13:12.000Z,2.1K,25.5K,6.6K,Senator Ted Cruz
2020-01-31T23:05:44.000Z,30.6K,165K,34.9K,Democrats = 17 Witnesses. Republicans = 0 Witnesses.
2020-01-31T21:06:48.000Z,37.4K,183.8K,44K,"The Radical Left, Do Nothing Democrats keep chanting “fairness”, when they put on the most unfair Witch Hunt in the history of the U.S. Congress. They had 17 Witnesses, we were allowed ZERO, and no lawyers. They didn’t do their job, had no case. The Dems are scamming America!"
2020-01-30T19:47:18.000Z,5K,48.7K,14.9K,The White House
2020-01-30T20:49:32.000Z,1.4K,25.2K,6.7K,The White House
2020-01-31T02:54:52.000Z,6.8K,100.1K,24.4K,"This November, we are going to defeat the Radical Socialist Democrats and win the Great State of Iowa in a Historic Landslide! "
2020-01-31T02:48:06.000Z,4.9K,88.3K,19.5K,"Thank you Iowa, I love you!"
2020-01-31T00:19:23.000Z,8.1K,73.5K,18.8K,"Great poll in Iowa, where I just landed for a Big Rally! "
2020-01-31T02:54:52.000Z,6.8K,100.1K,24.4K,"This November, we are going to defeat the Radical Socialist Democrats and win the Great State of Iowa in a Historic Landslide! "
2020-01-30T18:00:59.000Z,1.6K,27K,7.9K,Rep. Mike Johnson
2020-01-30T18:16:19.000Z,2.3K,40.9K,11.1K,Mark Meadows
2020-01-30T18:26:07.000Z,1.8K,30.7K,9K,Mark Meadows
2020-01-30T18:00:59.000Z,1.6K,27K,7.9K,Rep. Mike Johnson
2020-01-30T19:27:41.000Z,3.3K,55.1K,17.2K,Elise Stefanik
2020-01-30T22:04:35.000Z,11.5K,138.2K,22.9K,"Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S., all in good recovery."
2020-01-30T15:39:43.000Z,24.9K,124K,28.2K,“Schiff blasted for not focusing on California homeless.” 
2020-01-30T03:27:19.000Z,12.6K,149K,39K,2:194.9M views
2020-01-30T00:32:52.000Z,6.8K,60.2K,20.6K,1:461.5M views
